2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 140: 83.80000000000001
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 141: 48.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 142: 47.2
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 143: 59.2
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 144: 94.8
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 145: 51.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Roofing', material 146: 73.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Windows', material 147: 78.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Windows', material 148: 55.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Windows', material 149: 75.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Windows', material 150: 60.0
2026-06-19 15:39:37,150 - DEBUG - Heuristic ML score for component 'Windows', material 151: 53.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Windows', material 152: 55.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 153: 76.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 154: 48.0
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 155: 59.8
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 156: 50.0
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 157: 35.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 158: 75.19999999999999
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Doors', material 159: 75.19999999999999
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 160: 76.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 161: 62.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 162: 51.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 163: 72.0
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 164: 76.8
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 165: 62.0
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Flooring', material 166: 85.2
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 167: 95.0
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 168: 52.4
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 169: 33.6
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 170: 66.0
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 171: 56.8
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 172: 57.199999999999996
2026-06-19 15:39:37,151 - DEBUG - Heuristic ML score for component 'Waterproofing', material 173: 72.8
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Waterproofing', material 174: 42.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Waterproofing', material 175: 44.8
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Waterproofing', material 176: 63.8
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Waterproofing', material 177: 87.80000000000001
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 178: 69.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 179: 92.2
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 180: 54.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 119: 55.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 120: 41.599999999999994
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 121: 82.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 122: 33.199999999999996
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 123: 90.4
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Concrete', material 124: 53.2
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Concrete', material 125: 40.39999999999999
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Concrete', material 126: 84.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Concrete', material 127: 48.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 128: 30.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 129: 51.0
2026-06-19 15:39:37,152 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 130: 40.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 131: 21.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 132: 66.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Walls', material 133: 82.2
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Walls', material 134: 86.8
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Walls', material 135: 52.4
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Walls', material 136: 95.6
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Walls', material 137: 79.6
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Walls', material 138: 80.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 139: 59.8
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 140: 83.80000000000001
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 141: 48.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 142: 47.2
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 143: 59.2
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 144: 94.8
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 145: 51.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Roofing', material 146: 73.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Windows', material 147: 78.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Windows', material 148: 55.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Windows', material 149: 75.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Windows', material 150: 60.0
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Windows', material 151: 53.2
2026-06-19 15:39:37,153 - DEBUG - Heuristic ML score for component 'Windows', material 152: 55.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 153: 76.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 154: 48.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 155: 59.8
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 156: 50.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 157: 35.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 158: 75.19999999999999
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Doors', material 159: 75.19999999999999
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 160: 76.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 161: 62.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 162: 51.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 163: 72.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 164: 76.8
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 165: 62.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Flooring', material 166: 85.2
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 167: 95.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 168: 52.4
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 169: 33.6
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 170: 66.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 171: 56.8
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 172: 57.199999999999996
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Waterproofing', material 173: 72.8
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Waterproofing', material 174: 42.0
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Waterproofing', material 175: 44.8
2026-06-19 15:39:37,154 - DEBUG - Heuristic ML score for component 'Waterproofing', material 176: 63.8
2026-06-19 15:39:37,155 - DEBUG - Heuristic ML score for component 'Waterproofing', material 177: 87.80000000000001
2026-06-19 15:39:37,155 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 178: 69.0
2026-06-19 15:39:37,155 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 179: 92.2
2026-06-19 15:39:37,155 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 180: 54.0
2026-06-19 15:39:44,699 - DEBUG - ML inference completed. probs: [array([[0., 0., 1.]]), array([[0., 0., 1., 0., 0.]]), array([[0., 0., 1., 0., 0.]]), array([[1., 0.]]), array([[1., 0., 0., 0., 0.]])], classes: [array([1, 2, 3]), array([ 7,  8,  9, 10, 24]), array([11, 12, 13, 29, 30]), array([17, 18]), array([14, 15, 16, 25, 31])]
2026-06-19 15:39:44,699 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 119: 55.0
2026-06-19 15:39:44,699 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 120: 41.599999999999994
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 121: 82.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 122: 33.199999999999996
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 123: 90.4
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Concrete', material 124: 53.2
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Concrete', material 125: 40.39999999999999
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Concrete', material 126: 84.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Concrete', material 127: 48.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 128: 30.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 129: 51.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 130: 40.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 131: 21.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 132: 66.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Walls', material 133: 82.2
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Walls', material 134: 86.8
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Walls', material 135: 52.4
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Walls', material 136: 95.6
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Walls', material 137: 79.6
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Walls', material 138: 80.0
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Roofing', material 139: 59.8
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Roofing', material 140: 83.80000000000001
2026-06-19 15:39:44,700 - DEBUG - Heuristic ML score for component 'Roofing', material 141: 48.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Roofing', material 142: 47.2
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Roofing', material 143: 59.2
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Roofing', material 144: 94.8
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Roofing', material 145: 51.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Roofing', material 146: 73.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Windows', material 147: 78.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Windows', material 148: 55.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Windows', material 149: 75.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Windows', material 150: 60.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Windows', material 151: 53.2
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Windows', material 152: 55.2
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 153: 76.2
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 154: 48.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 155: 59.8
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 156: 50.0
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 157: 35.2
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 158: 75.19999999999999
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Doors', material 159: 75.19999999999999
2026-06-19 15:39:44,701 - DEBUG - Heuristic ML score for component 'Flooring', material 160: 76.2
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Flooring', material 161: 62.2
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Flooring', material 162: 51.2
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Flooring', material 163: 72.0
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Flooring', material 164: 76.8
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Flooring', material 165: 62.0
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Flooring', material 166: 85.2
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 167: 95.0
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 168: 52.4
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 169: 33.6
2026-06-19 15:39:44,702 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 170: 66.0
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 171: 56.8
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 172: 57.199999999999996
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Waterproofing', material 173: 72.8
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Waterproofing', material 174: 42.0
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Waterproofing', material 175: 44.8
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Waterproofing', material 176: 63.8
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Waterproofing', material 177: 87.80000000000001
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 178: 69.0
2026-06-19 15:39:44,703 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 179: 92.2
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 180: 54.0
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 119: 55.0
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 120: 41.599999999999994
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 121: 82.0
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 122: 33.199999999999996
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 123: 90.4
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Concrete', material 124: 53.2
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Concrete', material 125: 40.39999999999999
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Concrete', material 126: 84.0
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Concrete', material 127: 48.0
2026-06-19 15:39:44,704 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 128: 30.0
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 129: 51.0
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 130: 40.0
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 131: 21.0
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 132: 66.0
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Walls', material 133: 82.2
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Walls', material 134: 86.8
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Walls', material 135: 52.4
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Walls', material 136: 95.6
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Walls', material 137: 79.6
2026-06-19 15:39:44,705 - DEBUG - Heuristic ML score for component 'Walls', material 138: 80.0
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 139: 59.8
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 140: 83.80000000000001
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 141: 48.0
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 142: 47.2
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 143: 59.2
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 144: 94.8
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 145: 51.0
2026-06-19 15:39:44,706 - DEBUG - Heuristic ML score for component 'Roofing', material 146: 73.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Windows', material 147: 78.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Windows', material 148: 55.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Windows', material 149: 75.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Windows', material 150: 60.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Windows', material 151: 53.2
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Windows', material 152: 55.2
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 153: 76.2
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 154: 48.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 155: 59.8
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 156: 50.0
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 157: 35.2
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 158: 75.19999999999999
2026-06-19 15:39:44,707 - DEBUG - Heuristic ML score for component 'Doors', material 159: 75.19999999999999
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 160: 76.2
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 161: 62.2
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 162: 51.2
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 163: 72.0
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 164: 76.8
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 165: 62.0
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Flooring', material 166: 85.2
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 167: 95.0
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 168: 52.4
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 169: 33.6
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 170: 66.0
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 171: 56.8
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 172: 57.199999999999996
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Waterproofing', material 173: 72.8
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Waterproofing', material 174: 42.0
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Waterproofing', material 175: 44.8
2026-06-19 15:39:44,708 - DEBUG - Heuristic ML score for component 'Waterproofing', material 176: 63.8
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Waterproofing', material 177: 87.80000000000001
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 178: 69.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 179: 92.2
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 180: 54.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 119: 55.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 120: 41.599999999999994
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 121: 82.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 122: 33.199999999999996
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 123: 90.4
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Concrete', material 124: 53.2
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Concrete', material 125: 40.39999999999999
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Concrete', material 126: 84.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Concrete', material 127: 48.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 128: 30.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 129: 51.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 130: 40.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 131: 21.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 132: 66.0
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Walls', material 133: 82.2
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Walls', material 134: 86.8
2026-06-19 15:39:44,709 - DEBUG - Heuristic ML score for component 'Walls', material 135: 52.4
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Walls', material 136: 95.6
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Walls', material 137: 79.6
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Walls', material 138: 80.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 139: 59.8
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 140: 83.80000000000001
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 141: 48.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 142: 47.2
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 143: 59.2
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 144: 94.8
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 145: 51.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Roofing', material 146: 73.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Windows', material 147: 78.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Windows', material 148: 55.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Windows', material 149: 75.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Windows', material 150: 60.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Windows', material 151: 53.2
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Windows', material 152: 55.2
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Doors', material 153: 76.2
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Doors', material 154: 48.0
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Doors', material 155: 59.8
2026-06-19 15:39:44,710 - DEBUG - Heuristic ML score for component 'Doors', material 156: 50.0
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Doors', material 157: 35.2
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Doors', material 158: 75.19999999999999
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Doors', material 159: 75.19999999999999
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 160: 76.2
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 161: 62.2
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 162: 51.2
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 163: 72.0
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 164: 76.8
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 165: 62.0
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Flooring', material 166: 85.2
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 167: 95.0
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 168: 52.4
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 169: 33.6
2026-06-19 15:39:44,711 - DEBUG - Heuristic ML score for component 'Ceiling Systems', material 170: 66.0
